ReturnID,OrderID,OrderLineID,ReturnDate,ReturnReason,QuantityReturned
900087,514146,3,2026-07-19,Wrong Item,5
900088,506434,3,2025-02-16,Damaged in Shipping,1
900089,514613,2,2026-08-02,No Longer Needed,2
900090,504594,2,2024-11-20,Wrong Item,1
900091,511038,5,2025-12-05,Wrong Item,5
900092,501971,4,2024-06-16,Damaged in Shipping,2
900093,511055,1,2025-12-12,Wrong Item,4
900094,502819,2,2024-07-29,Better Price Found,1
900095,503513,4,2024-09-27,Better Price Found,6
900096,511665,1,2026-01-07,Damaged in Shipping,1
900097,513469,4,2026-06-04,Wrong Item,3
900098,502511,4,2024-07-04,Damaged in Shipping,1
900099,505463,1,2024-12-18,Defective,1
900100,505803,1,2025-01-14,Defective,2
900101,506216,1,2025-02-07,No Longer Needed,2
900102,510694,2,2025-12-17,No Longer Needed,1
900103,509555,5,2025-10-05,Defective,4
900104,500990,2,2024-03-25,Defective,5
900105,505960,5,2025-01-15,Wrong Item,3
900106,504861,1,2024-12-01,Damaged in Shipping,1
900107,506050,3,2025-01-22,Better Price Found,5
900108,503537,1,2024-09-18,No Longer Needed,1
900109,511487,2,2025-12-26,Wrong Item,2
900110,514169,3,2026-07-13,Wrong Item,3
900111,503002,3,2024-08-05,No Longer Needed,6
900112,507490,2,2025-05-13,Wrong Item,1
900113,502234,3,2024-06-09,Damaged in Shipping,5
900114,510728,2,2025-12-16,Better Price Found,2
900115,507988,4,2025-06-19,Damaged in Shipping,2
900116,512164,1,2026-02-14,Better Price Found,3
900117,505118,2,2024-12-04,Better Price Found,5
900118,512258,3,2026-03-09,Damaged in Shipping,1
900119,510023,1,2025-10-20,Better Price Found,4
900120,505647,1,2025-01-15,Better Price Found,1
900121,508258,2,2025-06-29,Damaged in Shipping,3
900122,502215,2,2024-06-24,Damaged in Shipping,4
900123,501548,3,2024-05-05,Defective,6
900124,512586,4,2026-03-31,Damaged in Shipping,2
900125,505989,2,2025-02-04,No Longer Needed,4
900126,500996,1,2024-03-23,Wrong Item,4
900127,505352,1,2025-01-03,Damaged in Shipping,1
900128,509066,1,2025-09-06,Better Price Found,5
900129,513477,1,2026-06-07,Better Price Found,4
900130,514636,4,2026-08-19,Better Price Found,1
900131,509078,4,2025-09-04,Wrong Item,3
900132,500982,2,2024-03-30,Damaged in Shipping,2
900133,512256,1,2026-03-05,Damaged in Shipping,2
900134,503145,2,2024-08-26,Defective,5
900135,505472,2,2025-01-08,No Longer Needed,1
900136,504332,2,2024-11-01,No Longer Needed,5
900137,509454,2,2025-10-09,Better Price Found,6
900138,512512,3,2026-03-23,Defective,4
900139,507539,2,2025-05-08,Better Price Found,1
900140,512692,2,2026-03-31,Defective,3
900141,501354,3,2024-04-28,Better Price Found,1
900142,509587,4,2025-09-23,No Longer Needed,4
900143,507778,4,2025-06-15,Better Price Found,2
900144,505184,2,2024-12-28,Defective,1
900145,507001,2,2025-03-29,Better Price Found,1
900146,510034,4,2025-10-25,Damaged in Shipping,2
900147,507052,2,2025-04-05,Better Price Found,2
900148,504903,1,2024-12-02,Wrong Item,6
900149,514662,2,2026-08-09,Better Price Found,4
900150,508656,1,2025-08-15,Damaged in Shipping,2
900151,501911,1,2024-06-07,Damaged in Shipping,5
900152,512806,1,2026-04-18,Damaged in Shipping,1
900153,510353,4,2025-11-27,Defective,4
900154,508474,3,2025-07-12,Better Price Found,5
900155,508581,1,2025-07-17,Better Price Found,2
900156,506633,1,2025-03-25,No Longer Needed,1
900157,508967,2,2025-08-22,Defective,3
900158,509345,1,2025-09-08,Defective,4
900159,507323,1,2025-05-13,No Longer Needed,2
900160,508881,3,2025-08-21,No Longer Needed,2
900161,507408,2,2025-04-27,Damaged in Shipping,6
900162,501809,1,2024-06-03,Wrong Item,4
900163,511872,3,2026-02-02,Damaged in Shipping,1
900164,506595,4,2025-02-26,Better Price Found,6
900165,510639,1,2025-12-17,Wrong Item,6
900166,511451,4,2026-01-08,Damaged in Shipping,5
900167,506423,1,2025-02-24,Better Price Found,3
900168,509419,1,2025-10-05,Better Price Found,5
900169,509520,5,2025-09-24,No Longer Needed,6
900170,504728,1,2024-11-19,Damaged in Shipping,5
900171,508846,5,2025-08-11,Better Price Found,1
900172,505555,3,2024-12-22,No Longer Needed,1
900173,504212,1,2024-10-21,Wrong Item,5
900174,508671,3,2025-08-04,Wrong Item,6
900175,506518,3,2025-03-05,Better Price Found,6
900176,505035,2,2024-12-15,No Longer Needed,5
900177,510138,1,2025-11-04,Wrong Item,1
900178,513209,3,2026-05-13,Wrong Item,2
900179,512104,2,2026-02-02,Defective,1
900180,507159,1,2025-04-25,Damaged in Shipping,5
900181,507569,4,2025-05-08,Defective,3
900182,512654,1,2026-03-18,Wrong Item,5
900183,500314,2,2024-01-28,Damaged in Shipping,1
900184,511871,1,2026-01-26,Damaged in Shipping,1
900185,511636,3,2026-01-18,Defective,1
900186,509554,2,2025-10-17,Wrong Item,5
900187,505308,1,2024-12-17,Defective,3
900188,500218,1,2024-02-09,Damaged in Shipping,5
900189,504632,5,2024-12-04,No Longer Needed,5
900190,503705,1,2024-09-27,Damaged in Shipping,5
900191,514366,1,2026-07-09,No Longer Needed,2
900192,504362,1,2024-11-08,Better Price Found,5
900193,512541,4,2026-04-04,Better Price Found,5
900194,510408,2,2025-11-11,Damaged in Shipping,2
900195,500306,5,2024-01-28,Damaged in Shipping,2
900196,500688,3,2024-03-14,Defective,1
900197,512096,1,2026-02-03,No Longer Needed,4
900198,500180,2,2024-01-22,Damaged in Shipping,1
900199,510479,2,2025-12-10,Wrong Item,6
900200,514517,1,2026-08-10,Wrong Item,6
900201,501828,2,2024-05-19,Better Price Found,5
900202,511009,2,2025-12-08,Wrong Item,5
900203,502319,1,2024-06-22,Wrong Item,1
900204,503942,2,2024-10-13,Damaged in Shipping,1
900205,510826,2,2025-12-13,Better Price Found,4
900206,503844,1,2024-10-15,Wrong Item,2
900207,506920,5,2025-04-12,Damaged in Shipping,1
900208,505174,4,2024-12-24,No Longer Needed,4
900209,510030,2,2025-11-02,No Longer Needed,2
900210,507494,1,2025-05-25,Defective,4
900211,501917,3,2024-05-27,Damaged in Shipping,2
900212,500586,1,2024-03-07,Wrong Item,1
900213,505524,2,2024-12-23,Wrong Item,1
900214,505707,3,2025-01-05,Better Price Found,6
900215,506573,2,2025-03-20,No Longer Needed,6
900216,512047,1,2026-02-18,Wrong Item,6
900217,506148,2,2025-02-07,Wrong Item,1
900218,501207,2,2024-04-26,Better Price Found,5
900219,508278,5,2025-07-01,Better Price Found,2
900220,511255,1,2026-01-03,Damaged in Shipping,4
900221,504184,5,2024-10-23,Defective,1
900222,509734,1,2025-10-04,Defective,3
900223,507833,3,2025-06-03,No Longer Needed,4
900224,508040,1,2025-06-14,Better Price Found,5
900225,508209,3,2025-07-01,Damaged in Shipping,3
900226,505423,3,2024-12-12,Better Price Found,3
900227,507944,3,2025-05-30,Better Price Found,2
900228,511452,5,2025-12-30,Damaged in Shipping,1
900229,513752,1,2026-06-16,No Longer Needed,3
900230,500703,1,2024-03-02,Better Price Found,1
900231,511541,4,2026-01-08,Defective,2
900232,507243,3,2025-04-30,Damaged in Shipping,4
900233,503883,1,2024-10-24,No Longer Needed,5
900234,513196,1,2026-04-29,Better Price Found,4
900235,509119,2,2025-09-07,Better Price Found,5
900236,505540,1,2025-01-16,Wrong Item,6
900237,502473,1,2024-07-10,Defective,4
900238,505211,3,2024-12-20,No Longer Needed,6
900239,508978,5,2025-09-03,No Longer Needed,1
900240,508846,4,2025-08-20,Wrong Item,1
900241,508236,5,2025-07-05,Defective,4
900242,512098,2,2026-02-10,No Longer Needed,1
900243,511081,3,2025-12-29,Wrong Item,4
900244,512208,1,2026-02-10,No Longer Needed,4
900245,507041,5,2025-04-17,No Longer Needed,4
900246,507698,2,2025-06-06,Defective,5
900247,504535,4,2024-11-07,Damaged in Shipping,2
900248,506113,4,2025-01-31,Damaged in Shipping,1
900249,513277,2,2026-05-16,Defective,4
900250,510008,2,2025-10-24,Damaged in Shipping,1
900251,506036,5,2025-01-29,Defective,2
900252,502291,1,2024-06-17,Better Price Found,4
900253,512616,1,2026-03-27,No Longer Needed,2
900254,513849,1,2026-06-11,Wrong Item,6
900255,509479,2,2025-09-15,Wrong Item,1
900256,510446,4,2025-11-23,Wrong Item,3
900257,511302,2,2025-12-20,Wrong Item,3
900258,503276,1,2024-08-31,Wrong Item,4
900259,508943,1,2025-08-16,Wrong Item,4
900260,510630,1,2025-11-21,Better Price Found,2
900261,500595,2,2024-02-25,Damaged in Shipping,5
900262,509699,1,2025-10-02,Wrong Item,1
900263,502026,2,2024-06-07,Defective,3
900264,506135,4,2025-01-27,Defective,2
900265,512733,1,2026-03-20,Defective,3
900266,501141,5,2024-04-03,Damaged in Shipping,1
900267,503846,5,2024-09-26,Better Price Found,3
900268,505025,5,2024-12-24,Better Price Found,5
900269,512148,4,2026-02-08,Better Price Found,1
900270,507181,1,2025-05-01,Wrong Item,1
900271,509200,1,2025-09-06,Better Price Found,1
900272,501946,1,2024-06-10,Better Price Found,1
900273,504278,1,2024-11-12,No Longer Needed,1
900274,501934,2,2024-05-23,No Longer Needed,2
900275,505586,4,2025-01-12,Damaged in Shipping,3
900276,507865,2,2025-05-26,Defective,1
900277,502398,4,2024-06-20,No Longer Needed,1
900278,510210,2,2025-11-23,Defective,3
900279,505912,2,2025-01-19,Damaged in Shipping,3
900280,509929,2,2025-10-22,Better Price Found,4
900281,508167,3,2025-06-30,Defective,3
900282,508372,3,2025-07-23,Better Price Found,4
900283,503170,2,2024-09-10,Wrong Item,5
900284,511636,4,2026-01-25,Better Price Found,6
900285,503722,1,2024-10-03,Wrong Item,6
900286,505518,2,2024-12-18,No Longer Needed,2
900287,506056,1,2025-01-17,No Longer Needed,5
900288,513250,1,2026-05-21,Wrong Item,4
900289,504021,3,2024-10-20,No Longer Needed,6
900290,507831,1,2025-06-10,Better Price Found,3
900291,511469,4,2026-01-05,Defective,2
900292,506756,3,2025-04-07,Wrong Item,4
900293,501484,4,2024-04-24,Damaged in Shipping,2
900294,513563,2,2026-06-03,Defective,3
900295,504589,3,2024-11-09,Wrong Item,1
900296,502012,1,2024-06-09,Better Price Found,1
900297,505437,2,2024-12-29,No Longer Needed,5
900298,500070,1,2024-01-20,Defective,4
900299,513203,2,2026-05-13,No Longer Needed,1
900300,509044,3,2025-08-20,Defective,4
900301,505957,3,2025-01-24,Damaged in Shipping,5
900302,505255,1,2024-12-14,Damaged in Shipping,1
900303,506715,1,2025-04-04,No Longer Needed,5
900304,514398,1,2026-07-15,Better Price Found,5
900305,501666,1,2024-05-11,No Longer Needed,1
900306,501702,2,2024-05-17,Defective,1
900307,504481,2,2024-11-16,Better Price Found,4
900308,501709,2,2024-05-15,Wrong Item,3
900309,505340,5,2025-01-04,Better Price Found,2
900310,503037,1,2024-08-18,Damaged in Shipping,2
900311,507500,1,2025-05-01,Damaged in Shipping,4
900312,509294,2,2025-09-26,No Longer Needed,5
900313,500113,3,2024-02-01,Wrong Item,1
900314,506163,3,2025-02-03,Wrong Item,1
900315,509604,1,2025-09-23,Damaged in Shipping,3
900316,509007,3,2025-08-11,No Longer Needed,2
900317,513768,3,2026-06-05,Wrong Item,6
900318,503878,2,2024-10-02,Damaged in Shipping,1
900319,511907,2,2026-02-09,Defective,1
900320,506189,1,2025-02-18,Better Price Found,5
900321,509242,1,2025-09-13,Better Price Found,1
900322,506579,1,2025-02-28,Better Price Found,1
900323,511481,3,2026-01-15,No Longer Needed,1
900324,510204,1,2025-11-27,Wrong Item,4
900325,506260,3,2025-02-04,No Longer Needed,5
900326,514223,2,2026-07-17,Better Price Found,3
900327,501140,1,2024-04-17,Defective,6
900328,502311,3,2024-07-05,Better Price Found,4
900329,514528,3,2026-07-19,Better Price Found,5
900330,500842,1,2024-03-18,Wrong Item,1
900331,510073,1,2025-11-07,Better Price Found,6
900332,500740,5,2024-03-23,Damaged in Shipping,4
900333,502045,2,2024-06-09,No Longer Needed,1
900334,510090,2,2025-11-20,Wrong Item,3
900335,503681,3,2024-09-28,Defective,3
900336,510333,3,2025-11-06,Better Price Found,5
900337,507460,2,2025-05-15,Better Price Found,3
900338,500105,4,2024-02-01,Wrong Item,5
900339,501035,4,2024-04-17,Wrong Item,5
900340,513411,3,2026-05-07,No Longer Needed,6
900341,500688,2,2024-03-16,No Longer Needed,4
900342,513311,2,2026-05-15,No Longer Needed,2
900343,510248,4,2025-11-12,Defective,4
900344,514472,1,2026-08-02,No Longer Needed,4
900345,512169,4,2026-02-15,Better Price Found,2
900346,507454,4,2025-05-14,Better Price Found,6
900347,509635,3,2025-09-25,Better Price Found,5
900348,505115,3,2024-12-23,Better Price Found,1
900349,512341,1,2026-03-18,Damaged in Shipping,1
900350,508013,3,2025-06-18,Damaged in Shipping,2
900351,502810,3,2024-07-16,Damaged in Shipping,4
900352,504057,3,2024-10-22,No Longer Needed,1
900353,511385,4,2025-12-28,Wrong Item,1
900354,504289,1,2024-11-16,Better Price Found,1
900355,512292,2,2026-03-05,No Longer Needed,6
900356,506155,3,2025-02-09,Damaged in Shipping,2
900357,500208,2,2024-01-22,Wrong Item,4
900358,510107,2,2025-11-08,No Longer Needed,5
900359,504612,1,2024-11-19,Defective,2
900360,509042,4,2025-08-22,Better Price Found,3
900361,514082,3,2026-06-25,Damaged in Shipping,2
900362,510536,4,2025-12-05,No Longer Needed,1
900363,506258,1,2025-02-17,Wrong Item,3
900364,511049,2,2026-01-01,Better Price Found,1
900365,502446,2,2024-07-19,No Longer Needed,4
900366,506728,1,2025-03-22,No Longer Needed,1
900367,505366,2,2025-01-03,Damaged in Shipping,3
900368,512558,2,2026-03-26,No Longer Needed,4
900369,512210,4,2026-03-04,Defective,5
900370,505771,1,2025-01-24,No Longer Needed,3
900371,511324,2,2025-12-18,Defective,1
900372,511139,1,2025-12-20,No Longer Needed,5
900373,503634,2,2024-10-07,Defective,2
900374,514284,3,2026-07-27,No Longer Needed,1
900375,513702,1,2026-06-21,Better Price Found,4
900376,505686,4,2024-12-25,No Longer Needed,3
900377,513722,1,2026-05-29,No Longer Needed,6
900378,501314,2,2024-05-06,Wrong Item,1
900379,500919,2,2024-04-09,Better Price Found,5
900380,504423,2,2024-11-29,Defective,1
900381,505357,2,2024-12-17,No Longer Needed,6
900382,513889,3,2026-06-22,Wrong Item,3
900383,500435,2,2024-03-02,Better Price Found,5
900384,501719,4,2024-05-09,Wrong Item,1
900385,504260,2,2024-10-28,Defective,1
900386,506135,1,2025-01-21,Better Price Found,4
900387,502072,1,2024-05-30,Defective,5
900388,509992,4,2025-11-01,No Longer Needed,1
900389,500116,1,2024-01-15,Damaged in Shipping,1
900390,512390,1,2026-03-22,Wrong Item,4
900391,508301,1,2025-07-01,Better Price Found,1
900392,506076,2,2025-01-27,Wrong Item,5
900393,512974,3,2026-04-22,Wrong Item,4
900394,509687,1,2025-10-10,Damaged in Shipping,1
900395,508843,2,2025-08-15,Defective,4
900396,511512,3,2026-01-03,Damaged in Shipping,2
900397,513429,5,2026-05-12,Better Price Found,5
900398,511778,1,2026-01-21,Better Price Found,5
900399,505739,2,2025-01-17,Better Price Found,5
900400,504855,2,2024-12-02,Better Price Found,5
900401,501397,2,2024-05-10,Defective,4
900402,512144,1,2026-03-03,Better Price Found,6
900403,510274,2,2025-11-30,Defective,6
900404,512389,2,2026-03-24,Defective,6
900405,500520,2,2024-03-01,Better Price Found,1
900406,503076,3,2024-08-16,Wrong Item,5
900407,502329,3,2024-07-04,Better Price Found,4
900408,501944,1,2024-06-14,No Longer Needed,2
900409,500083,3,2024-01-21,Damaged in Shipping,3
900410,502213,1,2024-07-02,Damaged in Shipping,3
900411,502531,2,2024-07-13,Defective,1
900412,505920,4,2025-01-22,Defective,1
900413,507182,3,2025-04-13,No Longer Needed,2
900414,502542,4,2024-07-19,Wrong Item,1
900415,501356,1,2024-04-17,Wrong Item,5
900416,512143,1,2026-02-26,No Longer Needed,1
900417,510442,3,2025-12-01,Defective,4
900418,505631,5,2025-01-08,Damaged in Shipping,6
900419,511228,2,2026-01-01,Defective,6
900420,514636,1,2026-08-22,Wrong Item,3
900421,501142,2,2024-04-14,Defective,5
900422,507227,1,2025-04-14,Wrong Item,2
900423,502805,4,2024-07-17,No Longer Needed,3
900424,505908,1,2025-01-05,Damaged in Shipping,6
900425,513774,1,2026-06-16,Wrong Item,4
900426,502729,1,2024-07-20,Better Price Found,1
900427,501950,2,2024-06-06,Defective,2
900428,514510,4,2026-07-24,Defective,2
900429,507668,1,2025-06-05,Wrong Item,6
900430,502971,3,2024-08-01,Better Price Found,5
900431,506420,1,2025-03-06,No Longer Needed,3
900432,512059,2,2026-01-29,Damaged in Shipping,1
900433,501839,1,2024-05-29,Wrong Item,4
900434,505194,5,2024-12-22,No Longer Needed,1
900435,504151,1,2024-10-18,Damaged in Shipping,5
900436,500919,1,2024-04-13,No Longer Needed,1
900437,504843,5,2024-12-12,Wrong Item,2
900438,508941,2,2025-08-07,Damaged in Shipping,3
900439,502214,4,2024-06-08,Damaged in Shipping,5
900440,502711,2,2024-07-17,Defective,5
900441,502010,4,2024-06-05,Damaged in Shipping,1
900442,507347,1,2025-04-22,No Longer Needed,1
900443,510153,3,2025-11-14,Damaged in Shipping,4
900444,507953,4,2025-06-18,No Longer Needed,1
900445,505022,4,2024-12-24,Better Price Found,2
900446,508274,1,2025-07-13,Wrong Item,4
900447,512695,1,2026-04-13,Better Price Found,1
900448,506066,3,2025-02-09,Better Price Found,1
900449,507012,1,2025-04-01,Damaged in Shipping,4
900450,509478,5,2025-10-01,Defective,5
900451,500719,4,2024-03-24,Defective,3
900452,509214,5,2025-08-25,Defective,4
900453,500375,2,2024-02-20,Better Price Found,3
900454,512370,1,2026-03-21,Better Price Found,1
900455,502413,1,2024-06-26,Defective,1
900456,511363,1,2026-01-08,No Longer Needed,3
900457,511717,2,2026-01-21,Better Price Found,3
900458,503365,5,2024-08-24,Damaged in Shipping,3
900459,503959,4,2024-10-07,Better Price Found,4
900460,501214,1,2024-04-14,Better Price Found,1
900461,501651,3,2024-05-22,Damaged in Shipping,1
900462,509904,3,2025-10-24,Wrong Item,5
900463,502009,1,2024-06-09,Wrong Item,3
900464,507341,5,2025-05-04,Wrong Item,2
900465,513497,2,2026-06-08,Better Price Found,3
900466,513657,4,2026-06-01,Damaged in Shipping,3
900467,506038,2,2025-02-11,Wrong Item,3
900468,511063,1,2025-12-23,Better Price Found,3
900469,510280,1,2025-11-16,Defective,6
900470,510800,1,2025-12-15,Wrong Item,2
900471,502076,5,2024-06-21,Better Price Found,2
900472,507788,2,2025-05-21,Wrong Item,3
900473,504968,1,2024-12-08,Wrong Item,3
900474,501886,2,2024-06-11,Damaged in Shipping,1
900475,506288,3,2025-02-12,Defective,2
900476,504549,1,2024-11-09,No Longer Needed,1
900477,505336,2,2024-12-22,Better Price Found,2
900478,513144,3,2026-04-17,Damaged in Shipping,4
900479,512867,2,2026-04-23,Defective,3
900480,500126,2,2024-01-24,Defective,4
900481,506090,1,2025-01-25,Defective,2
900482,510830,2,2025-12-10,Wrong Item,5
900483,512268,1,2026-03-06,Better Price Found,3
900484,514508,3,2026-07-29,Better Price Found,6
900485,504258,1,2024-10-20,Wrong Item,5
900486,512702,4,2026-03-26,Better Price Found,5
900487,503245,3,2024-08-29,No Longer Needed,5
900488,513380,2,2026-05-07,Wrong Item,1
900489,501523,3,2024-05-22,Damaged in Shipping,2
900490,501353,3,2024-04-23,Defective,5
900491,508063,1,2025-06-12,Damaged in Shipping,2
900492,507079,2,2025-04-07,Damaged in Shipping,5
900493,513067,5,2026-04-19,Better Price Found,6
900494,502327,3,2024-06-28,Defective,5
900495,502164,4,2024-06-30,No Longer Needed,1
900496,512954,3,2026-04-04,No Longer Needed,4
900497,504839,3,2024-12-13,Wrong Item,1
900498,502091,2,2024-06-20,Damaged in Shipping,2
900499,509052,5,2025-08-24,Damaged in Shipping,3
900500,502595,5,2024-07-24,Damaged in Shipping,1
900501,507752,2,2025-06-09,Defective,3
900502,507724,4,2025-05-16,Wrong Item,1
900503,506507,1,2025-03-10,Damaged in Shipping,4
900504,510144,2,2025-11-10,Wrong Item,4
900505,507763,1,2025-06-10,Damaged in Shipping,2
900506,504996,3,2024-11-28,Wrong Item,4
900507,505091,4,2024-12-12,No Longer Needed,2
900508,503185,4,2024-09-10,Better Price Found,3
900509,507924,3,2025-06-22,Defective,5
900510,512364,4,2026-03-18,Defective,3
900511,501776,3,2024-06-04,Defective,5
900512,504619,2,2024-11-27,Wrong Item,5
900513,501065,4,2024-04-11,Defective,6
900514,514330,1,2026-07-14,No Longer Needed,1
900515,512410,4,2026-03-01,Wrong Item,6
900516,501379,3,2024-04-16,Damaged in Shipping,4
900517,512221,1,2026-02-13,No Longer Needed,1
900518,500781,1,2024-03-06,Defective,3
900519,503518,3,2024-09-13,No Longer Needed,3
900520,511798,2,2026-01-10,Better Price Found,1
900521,509155,4,2025-09-14,No Longer Needed,1
900522,500652,5,2024-03-13,Damaged in Shipping,1
900523,505485,2,2025-01-05,No Longer Needed,1
900524,512079,4,2026-02-04,Defective,1
900525,510482,2,2025-12-02,Damaged in Shipping,1
900526,500845,3,2024-04-03,Wrong Item,1
900527,501888,2,2024-06-10,No Longer Needed,3
900528,512568,2,2026-03-21,Defective,6
900529,504706,1,2024-11-27,Defective,1
900530,513936,3,2026-06-09,Defective,5
900531,503465,1,2024-09-24,Better Price Found,1
900532,510416,3,2025-11-09,Wrong Item,5
900533,504114,1,2024-10-16,Better Price Found,1
900534,507281,4,2025-04-24,Better Price Found,5
900535,501091,2,2024-04-25,Defective,2
900536,506901,2,2025-04-09,No Longer Needed,2
900537,502307,3,2024-06-19,Defective,2
900538,503606,1,2024-10-06,Defective,1
900539,511473,2,2025-12-22,No Longer Needed,3
900540,514183,3,2026-07-14,Wrong Item,1
900541,500151,2,2024-01-31,No Longer Needed,5
900542,510508,1,2025-12-04,Wrong Item,2
900543,505347,4,2025-01-02,Wrong Item,3
900544,502074,3,2024-06-27,Damaged in Shipping,1
900545,501266,3,2024-05-04,Better Price Found,4
900546,513663,1,2026-06-03,Damaged in Shipping,3
900547,511605,2,2026-01-19,Defective,4
900548,511514,2,2026-01-07,Damaged in Shipping,4
900549,503198,4,2024-09-05,Damaged in Shipping,2
900550,504145,3,2024-10-29,Wrong Item,1
900551,501884,2,2024-05-26,Damaged in Shipping,4
900552,504018,1,2024-11-03,No Longer Needed,6
900553,514199,2,2026-07-19,Damaged in Shipping,2
900554,504222,1,2024-10-28,Better Price Found,4
900555,510773,1,2025-12-13,Defective,1
900556,503985,3,2024-10-11,Damaged in Shipping,1
900557,506228,1,2025-01-30,No Longer Needed,5
900558,506022,3,2025-02-05,Wrong Item,4
900559,505029,1,2024-12-22,Defective,1
900560,507051,2,2025-04-11,Defective,5
900561,504817,3,2024-11-24,No Longer Needed,5
900562,506191,2,2025-01-24,Wrong Item,5
900563,508929,4,2025-08-05,Better Price Found,4
900564,504090,4,2024-10-31,Damaged in Shipping,5
900565,505737,2,2025-01-24,Defective,2
900566,512301,2,2026-03-02,Damaged in Shipping,3
900567,500208,1,2024-02-09,No Longer Needed,2
900568,512329,1,2026-03-13,Wrong Item,4
900569,507522,4,2025-05-17,Better Price Found,3
900570,504551,3,2024-11-15,Damaged in Shipping,1
900571,503315,3,2024-08-24,Better Price Found,1
900572,508327,3,2025-07-19,No Longer Needed,1
900573,500682,1,2024-03-13,Better Price Found,5
